analyte_code,analyte_translation,analyte_desc,atomic_num,weight,preferred_unit,api_code,category,in_phase1_website,in_phase2_website,oxide_conv,website_analyte,category_two,website_order,website_order_pos2
W,Tungsten,Tungsten,74,183.85,ppm,w,element,TRUE,TRUE,NULL,W (ppm),NULL,220,NULL
W-carb,W from the carbonate fraction,"Tungsten extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,w_carb,carbonate_proxy,FALSE,TRUE,NULL,W-carb (ppm),NULL,95,NULL
Woodhouseite,Woodhouseite,Woodhouseite,NULL,NULL,wtpct,woodhouseite,mineralogy_composition,FALSE,FALSE,NULL,Woodhouseite (wt%),NULL,NULL,NULL
Xe,Xenon,Xenon,54,131.29,N/A,xe,element,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Y,Yttrium,Yttrium,39,88.906,ppm,y,element,TRUE,TRUE,NULL,Y (ppm),NULL,221,NULL
Y-auth,Y from authigenic fraction,Authigenic yttrium after light leach on shale,NULL,NULL,ppm,y_auth,authigenic_proxy,FALSE,FALSE,NULL,Y-auth (ppm),NULL,NULL,NULL
Y-carb,Y from the carbonate fraction,"Yttrium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,y_carb,carbonate_proxy,FALSE,TRUE,NULL,Y-carb (ppm),NULL,96,NULL
Yb,Ytterbium,Ytterbium,70,173.04,ppm,yb,element,TRUE,TRUE,NULL,Yb (ppm),NULL,222,NULL
Yb-auth,Yb from authigenic fraction,Authigenic ytterbium after light leach on shale,NULL,NULL,ppm,yb_auth,authigenic_proxy,FALSE,FALSE,NULL,Yb-auth (ppm),NULL,NULL,NULL
Yb-carb,Yb from the carbonate fraction,"Ytterbium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,yb_carb,carbonate_proxy,FALSE,TRUE,NULL,Yb-carb (ppm),NULL,97,NULL
Zn,Zinc,Zinc,30,65.39,ppm,zn,element,TRUE,TRUE,NULL,Zn (ppm),NULL,223,NULL
Zn-auth,Zn from authigenic fraction,Authigenic zinc after light leach on shale,NULL,NULL,ppm,zn_auth,authigenic_proxy,FALSE,FALSE,NULL,Zn-auth (ppm),NULL,NULL,NULL
Zn-carb,Zn from the carbonate fraction,"Zinc extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,zn_carb,carbonate_proxy,FALSE,TRUE,NULL,Zn-carb (ppm),NULL,98,NULL
Zr,Zirconium,Zirconium,40,91.224,ppm,zr,element,TRUE,TRUE,NULL,Zr (ppm),NULL,224,NULL
Zr-auth,Zr from authigenic fraction,Authigenic zirconium after light leach on shale,NULL,NULL,ppm,zr_auth,authigenic_proxy,FALSE,FALSE,NULL,Zr-auth (ppm),NULL,NULL,NULL
Zr-carb,Zr from the carbonate fraction,"Zirconium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,zr_carb,carbonate_proxy,FALSE,TRUE,NULL,Zr-carb (ppm),NULL,99,NULL
b-carotane,beta-carotane,Biomarker,NULL,NULL,NULL,NULL,biomarker,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
e205Tl,𝜀205Tl,"e205Tl = 10,000 x (205Tl/203Tlsample-205Tl/203TlSRM 997) / (205Tl/203TlSRM 997)",NULL,NULL,none,e_205tl,metal_isotope,FALSE,TRUE,NULL,𝜀205Tl,NULL,146,NULL
e205Tl-auth,𝜀205Tl-auth,"ε205Tl = 205/203Tlsample/205/203TlNIST−997−1×10,000 for authigenic fraction",NULL,NULL,none,e_205tl_auth,metal_isotope,FALSE,TRUE,NULL,𝜀205Tl-auth,NULL,147,NULL
e205Tl-det,𝜀205Tl-det,"ε205Tl = 205/203Tlsample/205/203TlNIST−997−1×10,000 for detrital fraction",NULL,NULL,none,e_205tl_det,metal_isotope,FALSE,TRUE,NULL,𝜀205Tl-det,NULL,148,NULL
eNd(0),eNd(0),present difference of the 143Nd/144Nd ratio in the sample from that in the CHUR (chondritic uniform reservoir),NULL,NULL,none,e_nd_0,metal_isotope,FALSE,TRUE,NULL,𝜀Nd(0),NULL,149,NULL
eNd(t),eNd(t),difference of the 143Nd/144Nd ratio in the sample from that in the CHUR (chondritic uniform reservoir),NULL,NULL,none,e_nd_t,metal_isotope,FALSE,TRUE,NULL,𝜀Nd(t),NULL,150,NULL
eNdi,𝜀Ndi,Initial εNd,NULL,NULL,none,e_nd_i,metal_isotope,FALSE,TRUE,NULL,𝜀Ndi,NULL,151,NULL
hop/ster,hopane/sterane,Biomarker,NULL,NULL,NULL,NULL,biomarker,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
iC25/nC22,regular isoprenoid 25/n-alkane22,Biomarker,NULL,NULL,NULL,NULL,biomarker,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
iC30/nC26,NULL,Biomarker,NULL,NULL,NULL,NULL,biomarker,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
