analyte_code,analyte_translation,analyte_desc,atomic_num,weight,preferred_unit,api_code,category,in_phase1_website,in_phase2_website,oxide_conv,website_analyte,category_two,website_order,website_order_pos2
Rg,Roentgenium,Roentgenium,111,272,N/A,rg,element,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Rh,Rhodium,Rhodium,45,102.906,ppm,rh,element,FALSE,FALSE,NULL,Rh (ppm),NULL,NULL,NULL
Rhodochrosite,Rhodochrosite,Rhodochrosite,NULL,NULL,wtpct,rhodochrosite,mineralogy_composition,FALSE,TRUE,NULL,Rhodochrosite (wt%),NULL,287,NULL
Rn,Radon,Radon,86,222.018,N/A,rn,element,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Ro%_meas,Vitrinite reflectance,Measured vitrinite reflectance,NULL,NULL,pct,ro_meas,NULL,FALSE,FALSE,NULL,Ro(%),NULL,NULL,NULL
Ru,Ruthenium,Ruthenium,44,101.07,ppm,ru,element,FALSE,FALSE,NULL,Ru (ppm),NULL,NULL,NULL
Rutile,Rutile,Rutile,NULL,NULL,wtpct,rutile,mineralogy_composition,FALSE,TRUE,NULL,Rutile (wt%),NULL,288,NULL
S,Sulphur,Sulphur,16,32.066,wtpct,s,iron_sulfur,TRUE,TRUE,NULL,S (wt%),element,16,200
S-AVS,AVS-associated sulfur,NULL,NULL,NULL,wtpct,s_avs,NULL,FALSE,FALSE,NULL,S-AVS (wt%),NULL,NULL,NULL
S1,S1,Rock-Eval Pyrolysis S1: amount of free hydrocarbon per unit amount of the sample. ,NULL,NULL,mgHC/g,s1,carbon,TRUE,TRUE,NULL,S1 (mgHC/g),NULL,26,NULL
S2,S2,Rock-Eval Pyrolysis S2: amount of hydrocarbons generated by pyrolytic degradation per unit amount of sample,NULL,NULL,mgHC/g,s2,carbon,TRUE,TRUE,NULL,S2 (mgHC/g),NULL,27,NULL
S3,S3,Rock-Eval Pyrolysis S3: amount of CO2 generated per unit amount of the sample,NULL,NULL,mgCO2/g,s3,carbon,TRUE,TRUE,NULL,S3 (mgCO2/g),NULL,28,NULL
S3',S3',"Rock-Eval Pyrolysis S3': CO2 from the Cinorg fraction(according to Ordonez et al. 2019, Organic Geochemistry)",NULL,NULL,mgCO2/g,s3_two,carbon,FALSE,FALSE,NULL,S3' (mgCO2/g),NULL,NULL,NULL
S3'CO,S3'CO,"Rock-Eval Pyrolysis S3'CO: CO from the Cinorg fraction(according to Ordonez et al. 2019, Organic Geochemistry)",NULL,NULL,mgCO/g,s3_two_co,carbon,FALSE,FALSE,NULL,S3'CO (mgCO/g),NULL,NULL,NULL
S3CO,S3CO,Rock-Eval Pyrolysis S3CO: amount of CO generated per unit amount of the sample,NULL,NULL,mgCO/g,s3co,carbon,FALSE,FALSE,NULL,S3CO (mgCO/g),NULL,NULL,NULL
S3CO2,NULL,NULL,NULL,NULL,NULL,NULL,carbon,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
S4,S4,Rock-Eval Pyrolysis S4: The residual carbon content of the sample,NULL,NULL,mgC/g,s4,carbon,FALSE,FALSE,NULL,S4 (mgC/g),NULL,NULL,NULL
S4CO,S4CO,Organic CO in [milligrams of CO per gram of rock]. (definition from AGS),NULL,NULL,mgCO/g,s4co,carbon,FALSE,FALSE,NULL,S4CO (mgCO/g),NULL,NULL,NULL
S4CO2,S4CO2,Organic CO2 in [milligrams of CO2 per gram of rock] (definition from AGS),NULL,NULL,mgCO2/g,s4co2,carbon,FALSE,FALSE,NULL,S4CO2 (mgCO2/g),NULL,NULL,NULL
S5,S5,HAWK S5,NULL,NULL,mgCO2/g,s5,carbon,FALSE,FALSE,NULL,S5 (mgCO2/g),NULL,NULL,NULL
SO3,SO3,Sufur trioxide,NULL,NULL,wtpct,so3,iron_sulfur,FALSE,FALSE,0.400459,NULL,NULL,NULL,NULL
SO4,SO4,Sulfate,NULL,NULL,wtpct,so4,iron_sulfur,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
S_KER,S from kerogen extraction,S from kerogen extraction,NULL,NULL,wtpct,s_ker,iron_sulfur,FALSE,FALSE,NULL,S-ker (wt%),NULL,NULL,NULL
S_ORG,S_ORG,Concentration of organic sulfur reported as percent S,NULL,NULL,wtpct,s_org,iron_sulfur,TRUE,TRUE,NULL,S-org (wt%),NULL,19,NULL
S_PY,Pyrite sulfur,Pyrite sulfur,16,32.066,wtpct,s_py,iron_sulfur,TRUE,TRUE,NULL,S-py (wt%),NULL,17,NULL
S_SFD,S_SFD,Concentration of sulfide sulfur reported as percent S,NULL,NULL,wtpct,s_sfd,iron_sulfur,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
